Drug_Name,Vina_Score_kcal_mol,Output_File
ruxolitinib,-8.153,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\ruxolitinib_docked.pdbqt
mesoridazine,-8.148,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\mesoridazine_docked.pdbqt
menadione_sodium_bisulfite,-8.148,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\menadione_sodium_bisulfite_docked.pdbqt
pazufloxacin,-8.143,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\pazufloxacin_docked.pdbqt
alprazolam,-8.137,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\alprazolam_docked.pdbqt
setiptiline,-8.136,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\setiptiline_docked.pdbqt
estetrol,-8.131,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\estetrol_docked.pdbqt
cinmetacin,-8.125,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\cinmetacin_docked.pdbqt
papaveroline,-8.125,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\papaveroline_docked.pdbqt
macimorelin,-8.123,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\macimorelin_docked.pdbqt
droxicam,-8.122,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\droxicam_docked.pdbqt
benzpiperylone,-8.121,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\benzpiperylone_docked.pdbqt
darolutamide,-8.119,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\darolutamide_docked.pdbqt
